subject,channel,importance
6,C1,0.00868055555555558
6,Cz,0.07465277777777779
6,C2,5.551115123125783e-17
6,C4,0.06770833333333337
6,C6,0.04861111111111116
6,CP3,-0.01736111111111105
6,CP1,0.006944444444444475
6,CPz,0.09201388888888895
6,CP2,0.02430555555555558
6,CP4,0.10590277777777785
6,P1,-0.017361111111111105
6,Pz,0.07812500000000006
6,P2,0.06944444444444448
6,POz,0.13888888888888892
7,Fz,0.11458333333333331
7,FC3,0.0017361111111110494
7,FC1,0.02777777777777768
7,FCz,0.031249999999999944
7,FC2,0.07118055555555552
7,FC4,0.01041666666666663
7,C5,0.01736111111111105
7,C3,0.09548611111111105
7,C1,0.062499999999999944
7,Cz,0.10937499999999994
7,C2,0.06770833333333331
7,C4,0.05034722222222221
7,C6,0.03472222222222221
7,CP3,0.11458333333333331
7,CP1,0.013888888888888784
7,CPz,0.13888888888888884
7,CP2,0.11979166666666663
7,CP4,0.18923611111111105
7,P1,0.1579861111111111
7,Pz,-0.00868055555555558
7,P2,0.11111111111111105
7,POz,0.14930555555555552
8,Fz,0.10243055555555558
8,FC3,0.28125
8,FC1,0.09375
8,FCz,0.17361111111111105
8,FC2,0.07986111111111116
8,FC4,0.16493055555555552
8,C5,0.20486111111111105
8,C3,0.2829861111111111
8,C1,0.125
8,Cz,0.12152777777777779
8,C2,0.00868055555555558
8,C4,0.15104166666666663
8,C6,0.02083333333333337
8,CP3,0.23090277777777773
8,CP1,0.08506944444444442
8,CPz,0.2482638888888889
8,CP2,0.2534722222222222
8,CP4,0.2777777777777778
8,P1,0.22395833333333331
8,Pz,0.15625
8,P2,0.2534722222222222
8,POz,0.3645833333333333
9,Fz,0.11805555555555558
9,FC3,0.28472222222222227
9,FC1,0.11284722222222232
9,FCz,0.23611111111111116
9,FC2,0.03298611111111116
9,FC4,0.17708333333333343
9,C5,0.20486111111111116
9,C3,0.22395833333333337
9,C1,0.02256944444444442
9,Cz,0.21006944444444453
9,C2,0.03645833333333337
9,C4,0.09722222222222232
9,C6,0.05729166666666674
9,CP3,0.22569444444444453
9,CP1,-0.01736111111111105
9,CPz,0.1875000000000001
9,CP2,0.17534722222222232
9,CP4,0.30381944444444453
9,P1,0.185763888888889
9,Pz,0.19791666666666674
9,P2,0.04861111111111116
9,POz,0.33333333333333337
