subject,order,k_removed,accuracy
5,least_important_first,17,0.3194444444444444
5,least_important_first,18,0.2864583333333333
5,least_important_first,19,0.3055555555555556
5,least_important_first,20,0.2881944444444444
5,least_important_first,21,0.2673611111111111
5,least_important_first,22,0.25
6,most_important_first,0,0.4704861111111111
6,most_important_first,1,0.328125
6,most_important_first,2,0.2534722222222222
6,most_important_first,3,0.2517361111111111
6,most_important_first,4,0.2465277777777778
6,most_important_first,5,0.25
6,most_important_first,6,0.25
6,most_important_first,7,0.25
6,most_important_first,8,0.25
6,most_important_first,9,0.25
6,most_important_first,10,0.25
6,most_important_first,11,0.25
6,most_important_first,12,0.25
6,most_important_first,13,0.25
6,most_important_first,14,0.25
6,most_important_first,15,0.25
6,most_important_first,16,0.25
6,most_important_first,17,0.25
6,most_important_first,18,0.2482638888888889
6,most_important_first,19,0.2604166666666667
6,most_important_first,20,0.2517361111111111
6,most_important_first,21,0.2534722222222222
6,most_important_first,22,0.25
6,least_important_first,0,0.4704861111111111
6,least_important_first,1,0.4774305555555556
6,least_important_first,2,0.3645833333333333
6,least_important_first,3,0.3211805555555556
6,least_important_first,4,0.2621527777777778
6,least_important_first,5,0.2482638888888889
6,least_important_first,6,0.2482638888888889
6,least_important_first,7,0.2517361111111111
6,least_important_first,8,0.2881944444444444
6,least_important_first,9,0.2934027777777778
6,least_important_first,10,0.2829861111111111
6,least_important_first,11,0.2690972222222222
6,least_important_first,12,0.2743055555555556
6,least_important_first,13,0.2725694444444444
6,least_important_first,14,0.2586805555555556
6,least_important_first,15,0.2777777777777778
6,least_important_first,16,0.265625
6,least_important_first,17,0.25
6,least_important_first,18,0.2638888888888889
6,least_important_first,19,0.2690972222222222
6,least_important_first,20,0.27777777777777773
6,least_important_first,21,0.2569444444444444
6,least_important_first,22,0.25
7,most_important_first,0,0.5798611111111112
7,most_important_first,1,0.4131944444444445
7,most_important_first,2,0.2690972222222222
7,most_important_first,3,0.2586805555555555
7,most_important_first,4,0.2586805555555556
7,most_important_first,5,0.26041666666666663
7,most_important_first,6,0.28125
7,most_important_first,7,0.3038194444444445
7,most_important_first,8,0.2829861111111111
7,most_important_first,9,0.3020833333333333
7,most_important_first,10,0.3003472222222222
7,most_important_first,11,0.2899305555555555
7,most_important_first,12,0.2986111111111111
7,most_important_first,13,0.2899305555555556
7,most_important_first,14,0.2847222222222222
7,most_important_first,15,0.2621527777777778
7,most_important_first,16,0.2604166666666667
7,most_important_first,17,0.25520833333333337
7,most_important_first,18,0.22569444444444442
7,most_important_first,19,0.2552083333333333
7,most_important_first,20,0.23263888888888887
7,most_important_first,21,0.25
7,most_important_first,22,0.25
7,least_important_first,0,0.5798611111111112
7,least_important_first,1,0.5989583333333333
7,least_important_first,2,0.5694444444444444
7,least_important_first,3,0.5451388888888888
7,least_important_first,4,0.532986111111111
7,least_important_first,5,0.545138888888889
7,least_important_first,6,0.5208333333333334
7,least_important_first,7,0.4513888888888889
7,least_important_first,8,0.4670138888888889
7,least_important_first,9,0.4357638888888889
7,least_important_first,10,0.4409722222222222
7,least_important_first,11,0.4288194444444444
7,least_important_first,12,0.3055555555555556
7,least_important_first,13,0.2951388888888889
7,least_important_first,14,0.3072916666666667
7,least_important_first,15,0.28125
7,least_important_first,16,0.2621527777777778
7,least_important_first,17,0.2743055555555556
7,least_important_first,18,0.2604166666666667
7,least_important_first,19,0.2638888888888889
7,least_important_first,20,0.2552083333333333
7,least_important_first,21,0.25
7,least_important_first,22,0.25
8,most_important_first,0,0.6041666666666667
8,most_important_first,1,0.3420138888888889
8,most_important_first,2,0.3819444444444444
8,most_important_first,3,0.34375
8,most_important_first,4,0.3611111111111111
8,most_important_first,5,0.375
8,most_important_first,6,0.2899305555555556
8,most_important_first,7,0.2690972222222222
8,most_important_first,8,0.3038194444444444
8,most_important_first,9,0.2829861111111111
8,most_important_first,10,0.2690972222222222
8,most_important_first,11,0.2725694444444444
8,most_important_first,12,0.25
8,most_important_first,13,0.25
8,most_important_first,14,0.25
8,most_important_first,15,0.25
8,most_important_first,16,0.25
8,most_important_first,17,0.25
8,most_important_first,18,0.25
8,most_important_first,19,0.25
8,most_important_first,20,0.25
8,most_important_first,21,0.25
8,most_important_first,22,0.25
8,least_important_first,0,0.6041666666666667
8,least_important_first,1,0.6059027777777778
8,least_important_first,2,0.5520833333333333
8,least_important_first,3,0.4670138888888889
8,least_important_first,4,0.42708333333333337
8,least_important_first,5,0.4513888888888889
8,least_important_first,6,0.36111111111111116
8,least_important_first,7,0.375
8,least_important_first,8,0.2743055555555555
8,least_important_first,9,0.3107638888888889
8,least_important_first,10,0.34375
8,least_important_first,11,0.3506944444444444
8,least_important_first,12,0.3506944444444444
8,least_important_first,13,0.39583333333333337
8,least_important_first,14,0.3854166666666667
8,least_important_first,15,0.4027777777777778
8,least_important_first,16,0.2638888888888889
8,least_important_first,17,0.2534722222222222
8,least_important_first,18,0.25
8,least_important_first,19,0.25
8,least_important_first,20,0.25
8,least_important_first,21,0.2934027777777778
8,least_important_first,22,0.25
9,most_important_first,0,0.5208333333333334
9,most_important_first,1,0.2986111111111111
9,most_important_first,2,0.3628472222222222
9,most_important_first,3,0.3559027777777778
9,most_important_first,4,0.359375
9,most_important_first,5,0.3368055555555555
9,most_important_first,6,0.3263888888888889
9,most_important_first,7,0.3055555555555555
9,most_important_first,8,0.3072916666666667
9,most_important_first,9,0.29861111111111116
9,most_important_first,10,0.2916666666666667
9,most_important_first,11,0.2899305555555555
9,most_important_first,12,0.2881944444444444
9,most_important_first,13,0.2534722222222222
9,most_important_first,14,0.2638888888888889
9,most_important_first,15,0.29687499999999994
9,most_important_first,16,0.2795138888888889
9,most_important_first,17,0.2552083333333333
9,most_important_first,18,0.2604166666666667
9,most_important_first,19,0.2482638888888889
9,most_important_first,20,0.2690972222222222
9,most_important_first,21,0.2586805555555556
9,most_important_first,22,0.25
9,least_important_first,0,0.5208333333333334
9,least_important_first,1,0.5642361111111112
9,least_important_first,2,0.5277777777777778
9,least_important_first,3,0.5225694444444444
9,least_important_first,4,0.5225694444444444
9,least_important_first,5,0.4496527777777778
9,least_important_first,6,0.38541666666666663
9,least_important_first,7,0.3940972222222222
9,least_important_first,8,0.3940972222222222
9,least_important_first,9,0.3506944444444444
9,least_important_first,10,0.4288194444444444
9,least_important_first,11,0.4114583333333333
9,least_important_first,12,0.3263888888888889
9,least_important_first,13,0.2638888888888889
9,least_important_first,14,0.2569444444444444
9,least_important_first,15,0.2621527777777778
9,least_important_first,16,0.4184027777777778
9,least_important_first,17,0.32291666666666663
9,least_important_first,18,0.25
9,least_important_first,19,0.25
9,least_important_first,20,0.25
9,least_important_first,21,0.3055555555555555
9,least_important_first,22,0.25
